epoch,activation,neurons,training time for ELM,testing time per image,precision,recall,f1 score,accuracy,sensitivity,specificity,false positive rate,error
10,tanh,100,6.552931786,,0.708960843,0.9415,0.808848797,0.778294445,0.9415,0.616250207,0.291039157,
10,tanh,150,11.32722735,,0.720179484,0.963,0.824074734,0.79515071,0.963,0.62849578,0.37150422,
10,tanh,200,3.142973661,,0.732752085,0.9665,0.833548944,0.807689114,0.9665,0.650008274,0.349991726,
10,tanh,250,3.53217268,,0.752649263,0.970666667,0.84786723,0.826455202,0.970666667,0.683269899,0.316730101,
10,tanh,300,3.739827871,,0.753415829,0.974166667,0.849687455,0.82828199,0.974166667,0.68343538,0.31656462,
10,tanh,350,4.108965158,,0.773255814,0.975333333,0.862617925,0.84522129,0.975333333,0.716035082,0.283964918,
10,tanh,400,4.696566343,,0.774503355,0.981166667,0.865671642,0.848293615,0.981166667,0.716366043,0.283633957,
10,tanh,500,5.395332813,,0.770056275,0.980666667,0.862693351,0.844473968,0.980666667,0.709250372,0.290749628,
10,relu,100,2.472321749,1.822352886,0.696405812,0.910666667,0.789253214,0.757701569,0.910666667,0.605824921,0.394175079,0.242298431
10,relu,150,2.883707285,1.742870569,0.694953271,0.9295,0.795294118,0.761604251,0.9295,0.594903194,0.405096806,
10,relu,200,3.068927526,1.903220892,0.71997969,0.945333333,0.817408849,0.789587312,0.945333333,0.634949528,0.365050472,0.210412688
10,relu,250,3.580853224,2.014820099,0.728032935,0.943166667,0.821752705,0.796147139,0.943166667,0.650173755,0.349826245,0.203852861
10,relu,300,3.953961372,2.580083609,0.723886232,0.958666667,0.824896028,0.797226605,0.958666667,0.636935297,0.363064703,
10,relu,350,4.13081789,2.449376106,0.734855248,0.960333333,0.832598801,0.807606078,0.960333333,0.65596558,0.34403442,0.192393922
10,relu,400,4.656561852,2.926589727,0.73983947,0.967833333,0.838616507,0.814415013,0.967833333,0.662088367,0.337911633,0.185584987
10,relu,500,5.367457151,2.883818626,0.757314525,0.966333333,0.849150557,0.828946276,0.966333333,0.692536819,0.307463181,
20,tanh,100,2.648535252,1.839258909,0.705432387,0.906833333,0.793553562,0.764925683,0.906833333,0.624027801,0.375972199,
20,tanh,150,2.792118311,1.919743538,0.729733247,0.934666667,0.819583486,0.794984638,0.934666667,0.656296541,0.343703459,
20,tanh,200,3.20741272,1.982632875,0.72661597,0.9555,0.825485961,0.798721249,0.9555,0.643058084,0.356941916,
20,tanh,250,3.587264299,2.25566268,0.752309093,0.963833333,0.845035435,0.823881093,0.963833333,0.684924706,0.315075294,
20,tanh,300,3.863994598,2.686396837,0.7412202,0.963833333,0.837994494,0.814331977,0.963833333,0.665894423,0.334105577,
20,tanh,350,4.211555481,2.795324087,0.763519707,0.971833333,0.855173425,0.836004318,0.971833333,0.701141817,0.298858183,
20,tanh,400,4.567394495,2.526896477,0.761687125,0.972166667,0.854151413,0.834592709,0.972166667,0.697997683,0.302002317,
20,tanh,450,4.921549559,2.798159599,0.775053022,0.9745,0.863408151,0.846383791,0.9745,0.719179216,0.280820784,
20,tanh,500,5.476029396,2.906202078,0.779314012,0.977,0.867031504,0.850701652,0.977,0.725302002,0.274697998,
20,sigm,100,6.058235168,2.01533556,0.720921053,0.913166667,0.805735294,0.780619447,0.913166667,0.64901539,0.35098461,0.219380553
20,sigm,150,3.13471818,2.049898386,0.721509039,0.918,0.80798005,0.782612306,0.918,0.648187986,0.351812014,0.217387694
20,sigm,200,3.202098846,2.117496252,0.7188305,0.930166667,0.810956117,0.783940879,0.930166667,0.638755585,0.361244415,
20,sigm,250,3.526203394,2.175926208,0.74133889,0.948666667,0.832285422,0.809515901,0.948666667,0.671355287,0.328644713,0.190484099
20,sigm,300,4.014106989,2.175926208,0.74133889,0.948666667,0.832285422,0.809515901,0.948666667,0.671355287,0.328644713,0.190484099
20,sigm,350,4.21095562,2.430016994,0.744447314,0.960833333,0.838911525,0.816158764,0.960833333,0.672513652,0.327486348,
20,sigm,400,4.688458204,2.882167101,0.750389813,0.9625,0.843311916,0.821805198,0.9625,0.682111534,0.317888466,0.178194802
20,sigm,450,4.881661892,2.896604061,0.745984839,0.967666667,0.842487122,0.819729303,0.967666667,0.672844614,0.327155386,
20,sigm,500,5.439884663,2.974370956,0.753012829,0.9685,0.847269811,0.826040023,0.9685,0.684593745,0.315406255,
30,tanh,100,6.585255861,1.702463865,0.718955937,0.927333333,0.809957057,0.783193556,0.927333333,0.640079431,0.359920569,
30,tanh,150,3.86105895,2.377456903,0.737226277,0.942666667,0.827384435,0.804035539,0.942666667,0.666390865,0.333609135,
30,tanh,200,3.393889904,2.407798052,0.743098958,0.951166667,0.834356725,0.811840903,0.951166667,0.673506536,0.326493464,
30,tanh,250,3.411481619,1.943572044,0.760409825,0.964833333,0.850510541,0.831022171,0.964833333,0.698163164,0.301836836,
30,tanh,300,3.980315447,2.417330742,0.761455879,0.969333333,0.852910984,0.833430208,0.969333333,0.698494125,0.301505875,
30,tanh,350,4.340057373,2.71231246,0.76077558,0.967833333,0.85190347,0.832350743,0.967833333,0.697832203,0.302167797,
30,tanh,400,4.686372519,2.854209661,0.76487587,0.9705,0.855505767,0.836668604,0.9705,0.703789509,0.296210491,
30,tanh,500,5.347971678,2.983397722,0.785311493,0.974833333,0.869869126,0.85468737,0.974833333,0.735396326,0.264603674,
30,sigm,100,2.588783741,1.673210144,0.695300462,0.9025,0.785465622,0.754380138,0.9025,0.607314248,0.392685752,
30,sigm,150,2.899780035,1.847628355,0.718513773,0.934666667,0.812459254,0.785020344,0.934666667,0.636438855,0.363561145,
30,sigm,200,3.181153297,2.051042557,0.721831436,0.940666667,0.816846371,0.789836419,0.940666667,0.640079431,0.359920569,
30,sigm,250,3.518985987,2.286919594,0.74191445,0.948166667,0.83245537,0.809848045,0.948166667,0.672513652,0.327486348,
30,sigm,300,4.029712439,2.517989397,0.733146067,0.957,0.830248699,0.805031969,0.957,0.654145292,0.345854708,
30,sigm,350,4.448707104,2.374583244,0.747855472,0.959,0.840368044,0.818483767,0.959,0.6789674,0.3210326,
30,sigm,400,4.634627819,2.853325129,0.75035868,0.958833333,0.841881905,0.820559661,0.958833333,0.683269899,0.316730101,
30,sigm,500,5.438372135,3.173465014,0.747299383,0.9685,0.843641115,0.821140912,0.9685,0.674830382,0.325169618,
